,layer,acc_mean,loss_mean
0,conv3_4_1x1_reduce,88.93178893946008,0.6035270391744075
1,conv3_4_1x1_reduce/bn,89.51093951093951,0.5738969613993337
2,activation_32,90.21879020344797,0.5165684094300141
3,conv3_4_3x3,89.38223940525275,0.5944289236762196
4,conv3_4_3x3/bn,88.996138996139,0.5757145323194899
5,activation_33,90.02574003341114,0.516786189613195
6,conv3_4_1x1_increase,88.22393823928047,0.5687137518456851
7,conv3_4_1x1_increase/bn,89.83268985570321,0.5935708035833588
8,multiply_7,90.99099099866213,0.5257673429246115
9,add_7,90.15444017745354,0.5326510924016494
10,activation_36,90.15444016211127,0.5451061542276556
11,conv4_1_1x1_reduce,87.51608751608751,0.5499087553687078
12,conv4_1_1x1_reduce/bn,90.41184041951153,0.4484019630817526
13,activation_37,89.38223938223939,0.49693984291881826
14,conv4_1_3x3,90.21879022646135,0.4753958713287245
15,conv4_1_3x3/bn,90.73359071824848,0.4302473403465487
16,activation_38,89.89703988936878,0.4466021884055365
17,conv4_1_1x1_increase,88.67438868205981,0.5190236095909601
18,conv4_1_1x1_increase/bn,90.2831402601269,0.47184075052673746
19,conv4_1_1x1_proj,89.51093950326839,0.5548367325403515
20,multiply_8,88.86743889045225,0.522056128220822
21,conv4_1_1x1_proj/bn,90.9266409189698,0.471910425978431
22,add_8,89.89703992005327,0.46319954229597876
23,activation_41,89.89703990471101,0.45320882162072024
24,conv4_2_1x1_reduce,89.44658946960283,0.4936824794595
25,conv4_2_1x1_reduce/bn,90.73359073359075,0.4329086407117708
26,activation_42,90.34749034749035,0.42605100696765014
27,conv4_2_3x3,88.61003862538087,0.4926457437309059
28,conv4_2_3x3/bn,89.8970398970399,0.5005046328675946
29,activation_43,89.89703988936877,0.46754984643928793
30,conv4_2_1x1_increase,88.03088804623026,0.5374466829778605
31,conv4_2_1x1_increase/bn,89.44658944658944,0.48177458313287763
32,multiply_9,90.41184041951153,0.4795120844049343
33,add_9,90.60489060489061,0.37852155521722985
34,activation_46,90.6692406769118,0.4316992448256896
35,conv4_3_1x1_reduce,89.63963964731077,0.5100259448724057
36,conv4_3_1x1_reduce/bn,89.9613899460477,0.45761632497399624
37,activation_47,90.60489058187723,0.4293894413738791
38,conv4_3_3x3,89.96138995371882,0.49615716658043585
39,conv4_3_3x3/bn,90.60489059721948,0.45682015965190476
40,activation_48,89.7039897039897,0.495150646494469
41,conv4_3_1x1_increase,86.74388675155785,0.6042067180729281
42,conv4_3_1x1_increase/bn,89.63963964731074,0.5210831945467179
43,multiply_10,89.38223937456826,0.5398737093196412
44,add_10,90.47619049920384,0.3953322542680277
45,activation_51,92.02059202826314,0.35462266797417996
46,conv4_4_1x1_reduce,90.15444017745354,0.4807955649521974
47,conv4_4_1x1_reduce/bn,90.9266409496543,0.45376334779511085
48,activation_52,91.69884167582832,0.3841761702736372
49,conv4_4_3x3,88.73873876175212,0.49155027188236033
50,conv4_4_3x3/bn,90.28314027546917,0.4678864215178226
51,activation_53,90.41184041951153,0.48301895658942257
52,conv4_4_1x1_increase,89.4465894619317,0.5047441902768197
53,conv4_4_1x1_increase/bn,91.05534104766993,0.5228026030606745
54,multiply_11,91.18404117637006,0.5114954076755308
55,add_11,91.50579152880488,0.3774289909937207
56,activation_56,91.31274132808358,0.3656852836774583
57,conv4_5_1x1_reduce,91.05534104766993,0.42393696975523903
58,conv4_5_1x1_reduce/bn,91.76319177086289,0.4298841381011629
59,activation_57,91.18404117637006,0.38220588339341655
60,conv4_5_3x3,89.83268984036096,0.4640773066836128
61,conv4_5_3x3/bn,91.50579150579149,0.47805807489225766
62,activation_58,90.02574001039777,0.43725674638723616
63,conv4_5_1x1_increase,89.51093950326838,0.48460326983354873
64,conv4_5_1x1_increase/bn,90.34749037050373,0.45072311868692144
65,multiply_12,90.86229088530423,0.4420338252336362
66,add_12,91.95624195624195,0.41589379713341995
67,activation_61,90.92664093431206,0.42175472810615133
68,conv4_6_1x1_reduce,91.05534105534106,0.43027932088500903
69,conv4_6_1x1_reduce/bn,90.92664092664093,0.42620007734040954
70,activation_62,89.89703990471101,0.4685616577607477
71,conv4_6_3x3,90.09009010543234,0.47191330073269483
72,conv4_6_3x3/bn,90.66924066924066,0.47942729860045574
73,activation_63,90.92664093431206,0.4528828480375626
74,conv4_6_1x1_increase,89.76833979135314,0.5020462987198947
75,conv4_6_1x1_increase/bn,90.99099099866213,0.48711574154317455
76,multiply_13,91.31274130507018,0.4848973566961104
77,add_13,91.50579150579149,0.417462074004852
78,activation_66,91.89189190723414,0.3988257783106702
79,conv5_1_1x1_reduce,90.21879021879022,0.4371718317078501
80,conv5_1_1x1_reduce/bn,90.86229083927749,0.43676301395877754
81,activation_67,90.92664091129866,0.4006712747356606
82,conv5_1_3x3,89.96138998440335,0.4302029789951624
83,conv5_1_3x3/bn,91.82754183521295,0.41334951660347724
84,activation_68,91.95624196391309,0.35220732391264137
85,conv5_1_1x1_increase,88.73873874640987,0.4319529546427144
86,conv5_1_1x1_increase/bn,90.92664093431205,0.4342314576396918
87,conv5_1_1x1_proj,88.99613900381011,0.47630266609339184
88,multiply_14,90.41184042718267,0.44016360446446345
89,conv5_1_1x1_proj/bn,90.02574004875339,0.44075341328997714
90,add_14,89.76833978368201,0.4663901161809993
91,activation_71,91.31274131274131,0.37760350349787125
92,conv5_2_1x1_reduce,88.80308880308881,0.4280793582840776
93,conv5_2_1x1_reduce/bn,89.51093951093951,0.4677501762695755
94,activation_72,88.93178890877554,0.45314500391713447
95,conv5_2_3x3,88.996138996139,0.43721388746412565
96,conv5_2_3x3/bn,89.12483912483913,0.47781350299658465
97,activation_73,87.77348779650116,0.542169645179346
98,conv5_2_1x1_increase,84.68468470002693,0.6038376327647205
99,conv5_2_1x1_increase/bn,86.74388675155787,0.580660765082066
100,multiply_15,86.22908623675737,0.5860105956996883
101,add_15,88.35263836030947,0.5334238772840266
102,activation_76,90.73359073359075,0.4118758594207322
103,conv5_3_1x1_reduce,87.96653795119572,0.49275045570566234
104,conv5_3_1x1_reduce/bn,89.38223937456826,0.5043419323372564
105,activation_77,88.73873871572535,0.5241490898598729
106,conv5_3_3x3,86.93693692926581,0.5377707863406326
107,conv5_3_3x3/bn,87.19433718666608,0.6609356789975552
108,activation_78,86.93693693693695,0.6812732381556792
109,conv5_3_1x1_increase,87.19433718666608,0.6382926517625266
110,conv5_3_1x1_increase/bn,86.2934362934363,0.8528289817935252
